Date,Event
7-Apr-16,"American Idol, the seminal music competition that set the record for eight straight seasons, 2003-4 to 2010-11, as the Number One show on television, ended its fifteen year run. The television show was one of the most successful shows in television history, peaking in 2006 with over 31 million viewers. The program would subsequently be brought back two years later."
12-Jun-16,"Terrorist attack in Orlando, Florida, with fifty killed and fifty-three wounded, continues ISIS and Radical Islamic terrorist inspired attacks throughout the world, including major attacks in Ankara, Instanbul, Brussels, and Nice."
2-Nov-16,"Chicago Cubs win their first World Series since 1908, defeating the Cleveland Indians 4 games to 3.  They rebounded from a three to one game deficit for only the sixth time in World Series history."
28-Nov-16,"Donald Trump, the flamboyount billionaire businessman from New York with no political or military experience, wins a surprising election over Democratic challenger and former Secretary of State Hillary Clinton, the first woman to run for the highest office from a major party.  Electoral victory by Republican Trump, 304 to 227, with seven electors voting against their pledge, two not voting for Trump, five not voting for Clinton, contained victories in Rust Belt states Wisconsin, Michigan, and Pennsylvania."
29-Dec-16,"Thirty-five Russian diplomats expelled from Washington by President Obama after national security report that Russia had been behind a hacking scandal to influence the national presidential election.  Although no vote tallies were affected, the seriousness of continued cyber attacks against both democratic institutions and other major targets sends an international signal that these attacks represent a major threat in the digital world."
11-Feb-17,"North Korea fires ballistic missile over the Sea of Japan, testing the resolve of the world in its attempt to develop a deliverable nuclear weapon. Throughout the year, North Korea continues its provocative tests, firing its first intercontinental ballistic missile, and other nuclear tests, prompting increased sanctions."
30-Mar-17,"SpaceX, the private aeronautic firm, engages in first reflight of an orbital class rocket, which can land vertically on a platform in its goal to reduce space flight costs and initiate space tourism."
1-Jun-17,United States withdraws from the Paris Climate Agreement.
25-Aug-17,"Disastrous hurricane season in the Gulf of Mexico, Caribbean, and Atlantic seaboard begins with Hurricane Harvey hitting the Houston area, causing $125 billion in damage.  It is followed on September 6 with Hurricane Irma, the strongest Atlantic hurricane in history striking Florida, and on September 19, Hurricane Maria strikes Puerto Rico.  Those two hurricanes cause over $150 billion in additional damages."
22-Dec-17,"President Trump signs the largest tax cut and changes in the tax code since 1986 with the Tax Cuts and Jobs Act, reducing rates and simplying the tax code."
10-Apr-18,"Facebook founder Mark Zuckerberg responds to a Congressional inquiry into the reason why eight-seven million customers had their private information breached by an outside British political consulting firm. By July, the market value of the firm had dropped twenty percent, losing $109 billion."
11-Jun-18,"Meetings between the United States President Donald Trump and North Korean Leader Kim Jong-un become the first summit between leaders of the two nations, with discussions about North Korea giving up its ambitions for nuclear weapons."
6-Jul-18,"Tariffs against $34 billion of Chinese goods go into position, with Chinese officials announcing retaliatory tariffs that could signal the largest trade war in history."
6-Nov-18,"Mid-term elections result in Democratic gains of forty seats in the U.S. House of Representatives and seven governors, but lose two seats in the U.S. Senate."
22-Dec-18,"Partial government shutdown begins after President Trump refuses to sign any spending package for Homeland Security that does not include border barrier funding in appropriations due to the status of illegal immigration and border security.  Shutdown lasts for thirty-five days, the longest shutdown in United States history."
14-Apr-19,"Tiger Woods wins his 15th Major at the Masters after eleven years without a victory in one of the four major golf tournaments. On October 28, 2019, Woods ties Sam Snead for the most PGA Tournament victories in a career with 82."
10-May-19,"Additional tariffs against China, at twenty-five percent on $200 billion worth of Chinese goods, are announced by the Trump Administration in the continued trade war.  By December, a First Phase Trade Agreement is announced, but not signed."
15-Nov-19,"Stock market closes above 28,000 in the Dow Jones Average for the first time, continuing its rise, with twenty-two record closes through the year.  It would reach its highest level in history on December 27, 2019."
18-Dec-19,"President Donald Trump is impeached by the House of Representatives in a partisan vote, on two counts, Obstruction of Congress and Abuse of Power, for a perceived improper phone conversation revolving around the Ukraine, military aid, and a potential investigation into oil dealings of the son of political rival Joe Biden."
19-Dec-19,"USMCA (United States, Mexico, Canada Agreement) trade deal passed by the House of Representatives, replacing NAFTA with agreement with fairer provisions for the United States between the North American nations of Canada, Mexico, and the United States.  By the end of the year, Mexico has also passed the treaty with pending status still in Canada."
21-Jan-20,"First case of Covid-19 is confirmed in the United States. The virus, Covid-19, pandemic had erupted in late 2019 as China denied gain of function research caused it at a Wuhan lab partially funded by the USA instead of a natural virus that transmuted to human beings from bats. By the end of the month, a travel ban is placed against China and six other nations with high rates of infection."
12-Mar-20,"Economy halts as the pandemic spreads to Europe and the United States at a rapid pace without knowledge of how to treat the infected or prevent residents from contracting it.  Governors and federal offices begin to ban large gatherings.  Dow Jones Industrial Average had fallen by its large intraday drop ever, two thousand points, three days earlier.  Then four days later exceeds that drop, dropping another two thousand nine hundred and ninety-seven points."
25-Mar-20,"House and Senate approve a two trillion dollar emergency spending bill, the Cares Act, to prop up the economy as people lose jobs and are told to stay home due to the pandemic.  President Trump signs bill two days later as 3.2 million people during the week before had signed up for unemployment benefits, the highest amount in history."
25-May-20,"Riots and protests erupt across the United States from the killing of a black citizen in Minneapolis, George Floyd, by a policeman.  Millions of dollars in damages to small businesses in cities occur, taking advantage of the chaos, as groups like Black Lives Matter and like-minded residents call for a change in police structure and end to harsher treatment by authorities against black and brown citizens."
2-Nov-20,"Poor communication about the pandemic, which would take 385,000 lives by the end of December, and the economic downturn caused by the Covid-19 pandemic filter into the race for President as President Trump, after a poor first debate performance, loses a contentious election to former Vice President Joe Biden."
11-Dec-20,FDA announces emergency authorization to Pfizer to administer its Covid-19 vaccine.  Seven days later it announced that Moderna has also been given emergency authorization for its vaccine.
6-Jan-21,"Protests by Trump supporters who think the election of Joe Biden as President was illegitimate congregate at the behest of Trump in Washington, D.C. The event turns into a riot and breach of the capitol building by the unruly mob. More than four hundred and sixty-five people would eventually be arrested."
20-Jan-21,"Democrat Joe Biden is sworn in as President of the United States alongside Kamala Harris as Vice President, the first African American and woman to serve in that position.  Biden immediately begins to rescind many of the previous President's policies and moves from his moderate stances during the campaign to a more leftist agenda."
7-Feb-21,"Tom Brady and the Tampa Bay Buccaneers win the Super Bowl, giving Brady a record tying number of championships, seven, with Otto Graham."
12-Mar-21,"The United States passes the 100 million vaccination mark.  By April 16, the amount of vaccinated adults reaches 200 million.  By August 7, over 70% of adults are vaccinated."
1-Dec-21,"The first Omicrom case of the Covid-19 variant in the USA is found in San Francisco from a traveler to South Africa.  The Omicron variant would prove to be much more contagious, though less deadly, than the former Delta, creating a spike of new cases and deaths for the next several months.  More people died of Covid-19 in 2021 than in its first year.  In the United States alone, that number was 386,000 and worldwide, the number of deaths from the virus reached 5.1 million, both as of November 22, 2021."
24-Feb-22,"Full scale invasion of the soveriegn nation of Ukraine by Russian President Vladimir Putin and Russian troops entering from the west, north, and south causes mass migration from Ukraine, and propels western nations, including the United States, to send hundreds of millions of dollars in humanitarian and military aid to the non-NATO country."
17-May-22,"House of Representatives holds first hearing on the existence of Unidentified Flying Objects, UFO's, in over fifty years, prompted by declassified photos and video of military pilots and others sighting objects in the sky that seemed to defy known flight capabilities.  Footage of three Navy pilots sighting what are now called, ""unidentified aerial phenomena"" had been released on August 30, 2021, raising the concern."
24-Jun-22,"Roe versus Wade 1973 ruling legalizing abortion rights on the Federal level is overturned by the Supreme Court, which found that the Constitution does not contain a right to abortion.  Ruling sends laws on abortion back to the states.  Majority of Americans do not agree with overturning the 1973 act."
8-Nov-22,"Midterm elections of the House of Representatives and Senate end with Republicans taking control of the House of Representatives by a small margin, ending much of the agenda of President Biden who had control of both houses during the first two years of his Presidency.  However, election results were not the expected Republican wave despite the trouble of high inflation hurting American families with much of the reason due to the issue of abortion rights."
31-Dec-22,"Social Security payments to recipients rise 8.7%, the highest in forty years, due to high inflation on almost all products and commodities, which hurt both senior citizens and all families.  The Consumer Price Index showing some of the highest inflation in decades causes the Federal Reserve to raise its rates at large intervals during the summer and fall in an effort to combat inflationary pressure."
8-Jan-23,"Presient Joe Biden visits the crises at the United States/Mexican border for the first time in his presidency. The crises continues throughout the year with two million five hundred thousand encounters with immigrants as they poured across the southern border due to policies that allow asylum seekers to remain in the country while waiting for their hearings. This causes release and transportation into not only cities along the border, but to northern and sanctuary cities such as New York, which immediately struggle to handle the influx, leading the homelessness, large government expenditures, and crime."
1-Feb-23,"The Federal Reserve begins its quick raise of interest rates with the first quarter point increase from 4.5 to 4.75 percent.  This begins the year long struggle to keep mortgage rates under control with additional rate hikes while the housing market booms in inflationary terms despite the increases and a housing shortage caused, in part, by homeowners with low mortgage rates refusing to move into higher rated loans at a next home.  By November 2023, the average 30 year fixed mortgage had risen to 7.44%."
30-Mar-23,"Former President Donald J. Trump is the first President charged with a crime in the hush money trial involving Stormy Daniels.  This prosecution begins a series of civil and criminal proceedings against the former President, who considers each a political witch hunt to prevent him from winning reelection.  On June 8, Jack Smith indicts the former President on the handling of top secrets documents after his Presidency.  On August 1, Trump is indicted for attempting to overturn the 2020 election results which resulted in the January 6 riots.  On August 14, the former President is indicted in Georgia on counts including racketeering involving efforts to overturn the election.  Despite the mounting legal troubles, his ratings within his supporters remains steady and does not diminish."
7-Oct-23,"Palestinian government and terror group Hamas attacks and kidnaps Israeli civilians in a surprise attack across the Israeli border.  About 1,200 civilians were killed at a variety of locations, including rocket attacks and individual attacks at a music festival.  Over two hundred people were kidnapped.  This attack prompted a counterattack by the Israeli Defense Force, upon Prime Minister Benjamin Netenyahu, to eradicate all Hamas militants.  The impact of the attacks caused eleven thousand Palestinian civilian deaths, causing some in the world to question the severity of the attacks, and the west's backing of their traditional ally Israel.  Hamas has systematically threatened the viability of the state of Israel since the 1967 war."
8-Dec-23,The Eras Tour by country and pop music star Taylor Swift grosses over one billion dollars.  This was the first time the tour of a music act had reached that amount of gross receipts.
